OBJECTID,FLD_AR_ID,FLD_ZONE,FLOODWAY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,BFE_REVERT,DEP_REVERT,SOURCE_CIT,Shape__Area,Shape__Length
192,455,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,95677.1229858398,3844.69590388249
193,458,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,10370.8685302734,696.721325886896
194,459,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,141522.25402832,5485.3472847889
195,461,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,962.293518066406,157.120522624573
196,464,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,23110.9154052734,901.51913544655
197,465,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,19890.5472412109,725.479657844051
198,466,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,354032.09777832,6070.1474207615
199,468,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,31186.5633544922,864.673828309161
200,471,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,74919.7205200195,1794.4067907197
201,474,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,168495.397583008,5416.27905252348
202,478,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,145075.558105469,4364.29910198566
203,479,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,157.884399414063,100.656836194771
204,480,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,151271.83001709,3045.37978266372
205,482,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,7469.50823974609,1148.67972334957
206,484,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,1073.51391601563,278.805694314567
207,486,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,17723.7108764648,1175.98159396978
208,487,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,838.894897460938,254.725474121836
209,489,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,39291.6293334961,1533.36985274382
210,491,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,39639.017578125,931.070217924777
211,492,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,267502.139465332,3941.90919078848
212,495,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,54232.4920043945,1653.29697271833
213,496,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,12068.8034667969,2094.09153958619
214,497,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,162.330688476563,92.6720861031963
215,498,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,87871.3485717773,2479.69854986611
216,499,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,563.341430664063,128.686251910186
217,503,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,7673.16955566406,494.052260997029
218,506,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,6891.32263183594,713.184933244887
219,508,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,43858.7283325195,2175.84508100405
220,510,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,183258.655883789,2603.6239080072
221,511,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,3174.69329833984,398.965894928597
222,513,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,64652.3331298828,1456.74252161552
223,514,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,27758.6611938477,2254.93981896823
224,515,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,279309.746948242,8847.21145336208
225,517,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,54677.3519897461,2441.335422718
226,523,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,2612.40850830078,477.959281542906
227,525,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,28994.0442504883,1112.04419029752
228,528,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,96560.908996582,2097.87025698565
229,529,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,10509.5020141602,751.69197287269
230,530,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,4020.28167724609,358.245247702415
